RefLink,CarName,Price,Depreciation,Mileage,Road Tax,Dereg Value,COE,Engine Cap,Curb Weight,Type of Vehicle,Reg Date,Transmission,OMV,ARF,Power,No of Owners
https://www.sgcarmart.com/used_cars/info.php?ID=1031929&DL=2927,Audi Q2 1.4A TFSI CoD S-tronic Sport,"$93,800","$15,080 /yr
View models with similar depre","48,000 km (9.8k /yr)",$624 /yr,"$53,087 as of today (change)","$54,406","1,395 cc","1,355 kg",SUV,"28-Apr-2017
(5yrs 1mth 3days COE left)",Auto,"$33,440","$33,816",110.0 kW (147 bhp),3
https://www.sgcarmart.com/used_cars/info.php?ID=1081100&DL=3544,Suzuki Swift 1.0A GLX,"$91,000","$9,720 /yr
View models with similar depre","17,000 km (11.8k /yr)",$392 /yr,"$43,008 as of today (change)","$36,534",998 cc,940 kg,Hatchback,"14-Oct-2020
(8yrs 6mths 19days COE left)",Auto,"$15,639","$15,639",82.0 kW (109 bhp),1
https://www.sgcarmart.com/used_cars/info.php?ID=1062632&DL=1135,Mitsubishi Attrage 1.2A Sports,"$64,000","$8,190 /yr
View models with similar depre","28,013 km (11.2k /yr)",$506 /yr,"$24,755 as of today (change)","$27,971","1,193 cc",940 kg,Mid-Sized Sedan,"25-Sep-2019
(7yrs 6mths  COE left)",Auto,"$14,438","$5,000",59.0 kW (79 bhp),1
https://www.sgcarmart.com/used_cars/info.php?ID=1077450&DL=1000,Mercedes-Benz B-Class B180 Style,"$56,500","$15,730 /yr
View models with similar depre","115,000 km (16.5k /yr)",$740 /yr,"$31,096 as of today (change)","$65,001","1,595 cc","1,425 kg",Hatchback,"06-Apr-2015
(3yrs 12days COE left)",Auto,"$25,345","$17,483",90.0 kW (120 bhp),3
https://www.sgcarmart.com/used_cars/info.php?ID=1026720&DL=2140,Toyota Corolla Altis 1.6A Elegance,"$58,800","$11,980 /yr
View models with similar depre","85,000 km (14.4k /yr)",$742 /yr,"$28,977 as of today (change)","$37,318","1,598 cc","1,205 kg",Mid-Sized Sedan,"26-Apr-2016
(4yrs 1mth 1day COE left)",Auto,"$19,589","$19,589",90.0 kW (120 bhp),1
https://www.sgcarmart.com/used_cars/info.php?ID=1046303&DL=3350,MINI Cooper S Countryman 2.0A,"$146,988","$18,780 /yr
View models with similar depre","35,500 km (10.4k /yr)","$1,210 /yr","$55,898 as of today (change)","$32,001","1,998 cc","1,535 kg",Sports Car,"24-Oct-2018
(6yrs 6mths 29days COE left)",Auto,"$38,869","$46,417",141.0 kW (189 bhp),1
https://www.sgcarmart.com/used_cars/info.php?ID=1047608&DL=3321,Bentley Continental GT 6.0A,"$750,000","$79,210 /yr
View models with similar depre","15,000 km (5.2k /yr)","$7,000 /yr","$302,319 as of today (change)","$35,310","5,950 cc","2,244 kg",Sports Car,"10-May-2019
(7yrs 1mth 15days COE left)",Auto,"$221,274","$370,294",467.0 kW (626 bhp),2
https://www.sgcarmart.com/used_cars/info.php?ID=1072275&DL=1000,Porsche Panamera 3.6A PDK (COE till 04/2031),"$166,800","$18,320 /yr",N.A.,"$3,665 /yr","$43,090 as of today (change)","$47,316","3,605 cc","1,760 kg",Sports Car,"30-May-2011
(9yrs 1mth 6days COE left)",Auto,"$114,243","$114,243",220.0 kW (295 bhp),3
https://www.sgcarmart.com/used_cars/info.php?ID=1079543&DL=1340,Honda Civic 1.6A VTi,"$85,800","$12,030 /yr
View models with similar depre","43,880 km (11.8k /yr)",$742 /yr,"$39,752 as of today (change)","$38,941","1,597 cc","1,249 kg",Mid-Sized Sedan,"06-Jul-2018
(6yrs 3mths 11days COE left)",Auto,"$20,254","$20,356",92.0 kW (123 bhp),1
https://www.sgcarmart.com/used_cars/info.php?ID=1074399&DL=1079,Toyota Corolla Altis 1.6A,"$17,800",N.A.,"112,000 km (11.5k /yr)",$742 /yr,"$9,267 as of today (change)","$58,001","1,598 cc","1,195 kg",Mid-Sized Sedan,"11-Jul-2012
(3mths 16days COE left)",Auto,"$15,101","$15,101",90.0 kW (120 bhp),1
https://www.sgcarmart.com/used_cars/info.php?ID=1079617&DL=3137,BMW 3 Series 316i,"$62,800","$19,300 /yr
View models with similar depre","60,000 km (8.2k /yr)",$742 /yr,"$32,875 as of today (change)","$70,890","1,598 cc","1,405 kg",Luxury Sedan,"14-Nov-2014
(2yrs 7mths 20days COE left)",Auto,"$29,681","$23,554",100.0 kW (134 bhp),3
https://www.sgcarmart.com/used_cars/info.php?ID=1050645&DL=1104,Volkswagen Jetta GP 1.4A TSI Highline,"$95,800","$16,070 /yr
View models with similar depre","68,800 km (14.6k /yr)",$620 /yr,"$38,601 as of today (change)","$42,801","1,390 cc","1,417 kg",Mid-Sized Sedan,"12-Jul-2017
(5yrs 3mths 17days COE left)",Auto,"$20,867","$21,214",90.0 kW (120 bhp),1
https://www.sgcarmart.com/used_cars/info.php?ID=1062100&DL=1043,Mercedes-Benz C-Class C160 Avantgarde,"$164,800","$17,040 /yr
View models with similar depre","14,000 km (9.4k /yr)",$684 /yr,"$58,228 as of today (change)","$33,520","1,497 cc","1,505 kg",Luxury Sedan,"24-Sep-2020
(8yrs 5mths 30days COE left)",Auto,"$34,012","$39,617",95.0 kW (127 bhp),1
