CarID,CarName,CarAge,Price,Depreciation,Mileage,Road Tax,Dereg Value,COE,Engine Cap,Curb Weight,Type of Vehicle,Reg Date,COE Expiry Date,COE Duration,Transmission,OMV,ARF,Power,No of Owners
1079067,Mitsubishi Outlander 2.0A,325,135000,13600,10000,1210,64316,52309,1998,1480,SUV,2021-05-03,2029-05-27,2621,Auto,21571,22200,110.0,1
1074608,Audi A8L 3.0A TFSI Quattro,2550,145000,30310,45000,2380,90943,71921,2995,1955,Luxury Sedan,2015-03-31,2029-05-27,2621,Auto,74974,106954,228.0,1
1076766,Audi A4 2.0A TFSI,4199,84800,9970,160800,1433,29719,34935,1984,1475,Luxury Sedan,2010-09-24,2029-05-27,2621,Auto,31539,31539,155.0,5
1061674,Volkswagen Golf GTI 5DR Sunroof,1974,101888,18710,80000,1194,46654,53001,1984,1370,Sports Car,2016-10-27,2029-05-27,2621,Auto,28472,31861,162.0,2
767227,BMW 5 Series 528i SE,2835,83800,22150,118000,1210,56058,67304,1997,1700,Luxury Sedan,2014-06-19,2024-06-18,817,Auto,56289,68321,180.0,1
1033297,McLaren 650S Spider,1888,668988,85780,11000,3634,382003,52807,3798,1474,Sports Car,2017-01-21,2027-01-20,1763,Auto,298489,509281,478.0,2
1078613,BMW 7 Series 730i Sunroof,2093,159800,25900,85339,1210,92422,55100,1998,1680,Luxury Sedan,2016-06-30,2027-01-20,1763,Auto,70260,98468,190.0,2
1082758,Volkswagen Golf Sport 1.4A TSI,4550,69800,9820,217000,806,18602,26175,1390,1286,Hatchback,2009-10-08,2029-04-30,2594,Auto,25506,25506,118.0,6
1057967,BMW 5 Series 535i Gran Turismo Sunroof,3768,114800,12380,105845,2598,50016,53932,2979,2015,Luxury Sedan,2011-11-29,2031-06-30,3385,Auto,55781,55781,225.0,3
1081053,Porsche 911 Carrera Coupe 3.4A PDK,3653,340888,34290,92000,3068,80119,80583,3436,1475,Sports Car,2012-03-23,2032-02-29,3629,Auto,128124,128124,257.0,4
1076653,MINI Cooper S Clubman 2.0A JCW,940,159800,18380,37000,1210,63581,38602,1998,1390,Sports Car,2019-08-27,2032-02-29,3629,Auto,38951,46532,141.0,2
